features,,,,,,,,
x,Spanish,AAVE,Non_Word,Swear_word,Drug_ref,Structure,likely_rap,likely_hiphop
danceability,,,,,,,,
energy,,,,,,,,
loudness,,,,,,,,
mode,,,,,,,,
speechiness,,,,,,,,
acousticness,,,,,,,,
instrumentalness,,,,,,,,
liveness,,,,,,,,
valence,,,,,,,,
tempo,,,,,,,,
durationms,,,,,,,,
acting,,,,,,,,
action,,,,,,,,
ago,,,,,,,,
ah,,,1,,,,,
alive,,,,,,,,
almost,,,,,,,,
along,,,,,,,,
alright,,,,,,,,
always,,,,,,,,
another,,,,,,,,
answer,,,,,,,,
anyone,,,,,,,,
anything,,,,,,,,
anyway,,,,,,,,
apart,,,,,,,,
askin,,1,,,,,,
ass,,,,1,,,,
ayo,,,1,,,,,1
ayy,,,1,,,,1,
ball,,,,,,,,
ballin,,1,,,,,,
band,,,,,,,,
bands,,1,,,,,,
barely,,,,,,,,
bass,,,,,,,,
beach,,,,,,,,
beats,,,,,,,,
beautiful,,,,,,,,
behind,,,,,,,,
bein,,,,,,,,
believe,,,,,,,,
benz,,,,,,,,
better,,,,,,,,
bigger,,,,,,,,
bill,,,,,,,,1
birds,,,,,,,,
bit,,,,,,,,
bitches,,,,1,,,,
black,,,,,,,,1
bleed,,,,,,,,
blew,,,,,,,,
blind,,,,,,,,
block,,,,,,,,
blood,,,,,,,,
blow,,,,,1,,,
blue,,,,,,,,
blunt,,,,,1,,,
body,,,,,,,,
bones,,,,,,,,
boo,,1,,,,,,
boom,,,,,,,,
boss,,,,,,,,
bought,,,,,,,,
bout,,1,,,,,,
bow,,,,,,,,
boy,,,,,,,,
boys,,,,,,,,
brain,,,,,,,,
bread,,1,,,,,,
bright,,,,,,,,
bring,,,,,,,,
bro,,1,,,,,,
broke,,,,,,,,
brothers,,,,,,,,1
brought,,,,,,,,
brown,,,,,,,,
buck,,1,,,,,,
building,,,,,,,,
built,,,,,,,,
bullets,,,,,,,,
bullshit,,,,1,,,,
burning,,,,,,,,
buy,,,,,,,,
cake,,1,,,,,,
call,,,,,,,,
called,,,,,,,,
callin,,,,,,,,
calling,,,,,,,,
came,,,,,,,,
care,,,,,,,,
cars,,,,,,,,
case,,,,,,,,
cash,,,,,,,,
cats,,,,,,,,1
caught,,,,,,,,
chains,,,,,,,,
chase,,,,,,,,
check,,,,,,,,
cheese,,,,,,,,
chest,,,,,,,,
chick,,1,,,,,,
chill,,,,,,,,
chrome,,1,,,,,,
city,,,,,,,,
clap,,1,,,,,,
click,,,,,,,,
clip,,1,,,,,,
clique,,,,,,,,
close,,,,,,,,
closed,,,,,,,,
closer,,,,,,,,
club,,,,,,,,
cocaine,,,,,1,,,
